key,distrito_nombre,pct_LLA_sep,pct_FP_sep,pct_LLA_oct,pct_FP_oct,volatilidad_LLA,volatilidad_FP,volatilidad_abs,pct_sin_cobertura,edad_mediana,pct_viviendas_ocupadas
san pedro,San Pedro,44.24,33.65,48.24,32.85,4.0,-0.8,4.0,34.9,31,90.81
san vicente,San Vicente,24.27,62.42,36.42,47.64,12.15,-14.78,12.15,45.72,28,87.17
suipacha,Suipacha,27.07,39.45,43.17,36.08,16.1,-3.37,16.1,32.69,32,85.09
tandil,Tandil,41.16,37.21,52.84,28.91,11.68,-8.3,11.68,25.34,35,88.76
tapalque,Tapalqué,26.36,44.97,47.18,39.17,20.82,-5.8,20.82,26.67,34,85.48
tigre,Tigre,35.0,35.32,45.92,38.01,10.92,2.69,10.92,31.16,33,91.15
tornquist,Tornquist,37.1,42.67,52.18,34.11,15.08,-8.56,15.08,24.13,38,70.74
trenque lauquen,Trenque Lauquen,34.34,31.0,54.03,28.76,19.69,-2.24,19.69,22.13,34,86.17
tordillo,Tordillo,40.37,45.19,47.62,43.51,7.25,-1.68,7.25,16.81,30,84.07
tres arroyos,Tres Arroyos,37.26,48.48,48.47,34.98,11.21,-13.5,11.21,29.18,37,73.52
tres de febrero,Tres de Febrero,46.3,42.33,42.84,39.11,-3.46,-3.22,3.46,27.2,37,90.32
la costa,La Costa,31.37,41.06,46.72,37.11,15.35,-3.95,15.35,45.27,34,31.17
monte hermoso,Monte Hermoso,25.6,57.78,44.2,42.47,18.6,-15.31,18.6,37.41,35,31.66
veinticinco de mayo,25 De Mayo,29.68,46.99,50.84,31.56,21.16,-15.43,21.16,35.12,35,87.26
vicente lopez,Vicente López,54.64,28.69,55.27,26.01,0.63,-2.68,0.63,13.54,41,90.24
villa gesell,Villa Gesell,38.97,33.38,50.19,34.21,11.22,0.83,11.22,43.11,34,49.2
villarino,Villarino,35.72,27.32,58.75,26.7,23.03,-0.62,23.03,50.38,32,86.98
zarate,Zárate,34.66,43.22,40.73,41.74,6.07,-1.48,6.07,30.76,32,91.36
tres lomas,Tres Lomas,27.32,42.38,48.59,39.23,21.27,-3.15,21.27,17.82,35,84.91
florentino ameghino,Florentino Ameghino,24.03,38.83,48.71,36.81,24.68,-2.02,24.68,20.98,33,92.13
presidente peron,Presidente Perón,26.76,45.65,32.34,47.68,5.58,2.03,5.58,50.7,27,93.15
jose c. paz,José C. Paz,28.23,52.94,31.83,51.1,3.6,-1.84,3.6,46.67,29,96.35
malvinas argentinas,Malvinas Argentinas,24.81,65.48,34.23,50.05,9.42,-15.43,9.42,40.47,32,96.92
punta indio,Punta Indio,30.58,38.44,50.84,33.9,20.26,-4.54,20.26,26.05,35,69.76
ezeiza,Ezeiza,26.57,59.98,38.22,44.49,11.65,-15.49,11.65,41.12,29,91.89
ituzaingo,Ituzaingó,38.82,47.63,40.25,42.21,1.43,-5.42,1.43,26.32,37,94.08
hurlingham,Hurlingham,32.86,45.67,38.8,43.54,5.94,-2.13,5.94,31.89,35,95.05
lezama,Lezama,27.18,41.51,49.85,36.37,22.67,-5.14,22.67,20.13,35,79.21
